food,cuisine,category,display_amount,grams_per_display,protein_g_per_display,carbohydrates_g_per_display,fats_g_per_display,calories_kcal_per_display,protein_g_per_100g,carbohydrates_g_per_100g,fats_g_per_100g,calories_kcal_per_100g,source_primary,source_validation,validation_status,notes
Tofu,Ingredient,protein,100 g,100,8.0,2.0,4.8,76.0,8.0,2.0,4.8,76.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Firm tofu.
Tuna,Ingredient,protein,100 g,100,29.0,0.0,1.0,132.0,29.0,0.0,1.0,132.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,"Canned in water, drained."
Teriyaki Chicken,Japanese,protein,1 serving,180,24.0,20.0,8.0,260.0,13.33,11.11,4.44,144.44,Standard recipe estimate,USDA FoodData Central chicken reference,recipe-estimate,Chicken with teriyaki glaze.
Bulgogi,Korean,protein,1 serving,180,22.0,12.0,10.0,240.0,12.22,6.67,5.56,133.33,Standard recipe estimate,USDA FoodData Central beef reference,recipe-estimate,Marinated beef.
Tempeh,Vegan,protein,100 g,100,19.0,9.0,11.0,190.0,19.0,9.0,11.0,190.0,USDA FoodData Central,USDA FoodData Central protein reference,cross-validated,Fermented soy cake.
Vegan Burger Patty,Vegan,protein,1 patty,100,12.0,18.0,7.0,170.0,12.0,18.0,7.0,170.0,Standard recipe estimate,USDA FoodData Central burger patty average,recipe-estimate,Plant-based burger patty.
Boiled Egg,Western,protein,1 large,50,6.3,0.55,4.75,71.5,12.6,1.1,9.5,143.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Boiled whole egg.
Egg,Western,protein,1 large,50,6.3,0.55,4.75,71.5,12.6,1.1,9.5,143.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Whole chicken egg.
Ham,Western,protein,2 slices,60,10.8,0.9,4.8,87.0,18.0,1.5,8.0,145.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Lean ham slices.
Sausage,Western,protein,1 piece,50,7.0,1.0,15.0,165.0,14.0,2.0,30.0,330.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Pork sausage.
Scrambled Eggs,Western,protein,2 eggs,100,11.5,2.0,13.0,170.0,11.5,2.0,13.0,170.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,With a little milk/butter.
Cream Cheese,Dairy,dairy,1 tbsp,15,1.0,1.0,5.0,50.0,6.67,6.67,33.33,333.33,USDA FoodData Central,USDA FoodData Central dairy reference,cross-validated,Cream cheese spread.
Mozzarella Cheese,Dairy,dairy,1 slice,20,5.0,1.0,6.0,80.0,25.0,5.0,30.0,400.0,USDA FoodData Central,USDA FoodData Central dairy reference,cross-validated,Mozzarella slice.
Processed Cheese Slice,Dairy,dairy,1 slice,20,4.0,1.0,5.0,70.0,20.0,5.0,25.0,350.0,USDA FoodData Central,USDA FoodData Central dairy reference,cross-validated,Processed slice.
Curd,Indian,dairy,1 cup,245,8.57,11.52,8.09,149.45,3.5,4.7,3.3,61.0,USDA FoodData Central + egg dish averages,Cross-checked against standard egg nutrition; cooking fat varies,cross-validated,Plain curd/yogurt.
Cheddar Cheese,Western,dairy,1 slice,28,7.0,0.36,9.24,112.8,25.0,1.3,33.0,403.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Cheddar cheese slice.
Plain Yogurt,Western,dairy,1 cup,245,8.57,11.52,8.09,149.4,3.5,4.7,3.3,61.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Plain yogurt.
Canola Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Coconut,Ingredient,fat,1 cup,80,2.64,12.16,26.8,283.2,3.3,15.2,33.5,354.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Fresh coconut flesh.
Coconut Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Cooking Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,126.0,0.0,0.0,100.0,900.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,"Any vegetable oil, pure fat basis."
Ghee,Ingredient,fat,1 tsp,5,0.0,0.0,5.0,45.0,0.0,0.0,100.0,900.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Clarified butter.
Groundnut Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Mustard Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Olive Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,119.0,0.0,0.0,100.0,850.0,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Peanut Butter,Ingredient,fat,1 tbsp,16,4.0,3.2,8.0,94.1,25.0,20.0,50.0,588.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Smooth peanut butter.
Peanut Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,123.76,0.0,0.0,100.0,884.0,USDA FoodData Central + edible oil averages,Cross-checked against standard edible oil profiles,cross-validated,Peanut oil.
Rice Bran Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Sesame Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Sunflower Oil,Ingredient,fat,1 tbsp,14,0.0,0.0,14.0,120.0,0.0,0.0,100.0,857.14,USDA FoodData Central,USDA FoodData Central fat reference,cross-validated,Pure oil.
Vegan Butter,Vegan,fat,1 tbsp,14,0.0,0.0,1.54,14.0,0.0,0.0,11.0,100.0,USDA FoodData Central + plant beverage averages,Cross-checked against typical market formulations; brand varies,cross-validated,Plant-based butter spread.
Bread Bun,Bakery,bakery,1 piece,50,4.0,25.0,1.5,135.0,8.0,50.0,3.0,270.0,USDA FoodData Central + fast-food averages,Cross-checked against common fast-food and bakery averages,estimated,"Plain bun, average."
Butter Toast,Bakery,bakery,2 slices,70,5.0,30.0,7.0,220.0,7.14,42.86,10.0,314.29,Standard recipe estimate,USDA FoodData Central bread reference,recipe-estimate,Toast with butter.
Egg Puff,Bakery,bakery,1 piece,80,7.0,19.0,14.0,250.0,8.75,23.75,17.5,312.5,Standard recipe estimate,USDA FoodData Central bakery reference,recipe-estimate,Egg puff pastry.
Khara Bun,Bakery,bakery,1 piece,60,5.0,30.0,4.0,180.0,8.33,50.0,6.67,300.0,Standard recipe estimate,USDA FoodData Central bakery reference,recipe-estimate,Spiced savory bun.
Muffin,Bakery,bakery,1 piece,90,4.0,35.0,12.0,280.0,4.44,38.89,13.33,311.11,Standard recipe estimate,USDA FoodData Central bakery reference,recipe-estimate,Sweet bakery muffin.
Mushroom Puff,Bakery,bakery,1 piece,85,6.0,21.0,13.0,240.0,7.06,24.71,15.29,282.35,Standard recipe estimate,USDA FoodData Central bakery reference,recipe-estimate,Mushroom puff pastry.
Paneer Puff,Bakery,bakery,1 piece,90,8.0,22.0,15.0,270.0,8.89,24.44,16.67,300.0,Standard recipe estimate,USDA FoodData Central bakery reference,recipe-estimate,Paneer puff pastry.
Pav,Bakery,bakery,1 piece,50,4.0,26.0,3.0,150.0,8.0,52.0,6.0,300.0,USDA FoodData Central,USDA FoodData Central bread reference,cross-validated,Soft pav bun.
Plain Bun,Bakery,bakery,1 piece,50,4.0,25.0,3.0,150.0,8.0,50.0,6.0,300.0,USDA FoodData Central,USDA FoodData Central bakery reference,cross-validated,Soft white bun.
Toast,Bakery,bakery,2 slices,60,5.0,30.0,4.0,180.0,8.33,50.0,6.67,300.0,USDA FoodData Central,USDA FoodData Central bread reference,cross-validated,"Toast bread, plain."
Veg Puff,Bakery,bakery,1 piece,75,5.0,20.0,12.0,220.0,6.67,26.67,16.0,293.33,Standard recipe estimate,USDA FoodData Central bakery reference,recipe-estimate,Vegetable puff pastry.
Couscous,African,staple,1 cup,157,9.42,56.52,0.47,276.32,6.0,36.0,0.3,176.0,FAO/INFOODS + regional recipe estimate,Cross-checked against regional composition references; recipe-dependent,cross-validated,Cooked couscous.
Fufu,African,staple,1 cup,200,3.0,96.0,1.0,440.0,1.5,48.0,0.5,220.0,FAO/INFOODS + regional recipe estimate,Cross-checked against regional composition references; recipe-dependent,estimated,"Fufu, average cassava/yam-based."
Injera,African,staple,1 piece,100,5.0,25.0,1.0,130.0,5.0,25.0,1.0,130.0,FAO/INFOODS,FAO/INFOODS staple reference,cross-validated,Fermented flatbread.
Pap / Ugali,African,staple,1 cup,200,3.0,40.0,1.0,190.0,1.5,20.0,0.5,95.0,FAO/INFOODS,FAO/INFOODS staple reference,cross-validated,Maize meal staple.
Ugali,African,staple,1 serving,180,7.2,73.8,1.8,360.0,4.0,41.0,1.0,200.0,FAO/INFOODS + regional recipe estimate,Cross-checked against regional composition references; recipe-dependent,estimated,"Maize ugali, average."
Luchi,Bengali,staple,1 piece,25,3.0,12.0,6.0,114.0,12.0,48.0,24.0,456.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Deep-fried white flour bread.
Thepla,Gujarati,staple,1 piece,40,2.4,11.2,4.0,84.0,6.0,28.0,10.0,210.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,"Methi thepla, lightly oiled."
Jolada Rotti,Karnataka,staple,1 piece,50,2.5,17.0,0.75,80.0,5.0,34.0,1.5,160.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Jowar rotti, average."
Thalipeeth,Marathi,staple,1 piece,70,4.2,21.0,5.6,133.0,6.0,30.0,8.0,190.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Multigrain flatbread.
Sticky Rice,North Eastern,staple,1 cup,180,4.86,50.4,0.54,234.0,2.7,28.0,0.3,130.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Cooked sticky rice.
Aloo Paratha,North Indian,staple,1 piece,120,6.6,34.8,14.4,288.0,5.5,29.0,12.0,240.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Stuffed potato paratha.
Bhature,North Indian,staple,1 piece,80,6.0,30.0,10.0,234.0,7.5,37.5,12.5,292.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Deep-fried leavened bread.
Chapati,North Indian,staple,1 piece,43,3.4,8.51,1.42,58.5,7.9,19.8,3.3,136.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Whole-wheat roti.
Kulcha,North Indian,staple,1 piece,70,5.0,25.0,8.0,192.0,7.14,35.71,11.43,274.29,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Soft leavened bread.
Makki di Roti,North Indian,staple,1 piece,60,4.0,20.0,5.0,141.0,6.67,33.33,8.33,235.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Cornmeal flatbread.
Missi Roti,North Indian,staple,1 piece,50,5.0,18.0,4.0,128.0,10.0,36.0,8.0,256.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Gram flour and wheat flatbread.
Naan,North Indian,staple,1 piece,90,7.92,48.6,4.86,263.7,8.8,54.0,5.4,293.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Plain naan.
Plain Paratha,North Indian,staple,1 piece,80,5.6,28.8,9.6,237.6,7.0,36.0,12.0,297.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Pan-fried with oil/ghee.
Poori,North Indian,staple,1 piece,30,1.8,11.7,6.0,109.5,6.0,39.0,20.0,365.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Deep-fried wheat bread.
Tandoori Roti,North Indian,staple,1 piece,60,4.8,28.8,1.5,150.0,8.0,48.0,2.5,250.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Tandoor-baked wheat flatbread.
Bread (White),Western,staple,1 slice,25,2.25,12.25,0.8,66.5,9.0,49.0,3.2,266.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Standard white bread.
Bread (Whole Wheat),Western,staple,1 slice,30,3.9,12.3,1.26,74.1,13.0,41.0,4.2,247.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Whole wheat bread.
Butter,Western,ingredient,1 tbsp,14,0.13,0.01,11.34,100.4,0.9,0.1,81.0,717.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Unsalted butter.
Almonds,Ingredient,nut,1 handful,28,5.88,6.16,14.0,162.1,21.0,22.0,50.0,579.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw almonds.
Cashews,Ingredient,nut,1 handful,28,5.04,8.4,12.32,154.8,18.0,30.0,44.0,553.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw cashews.
Mixed Dry Fruits,Ingredient,nut,1 tbsp,10,1.5,4.0,4.8,60.0,15.0,40.0,48.0,600.0,Standard recipe estimate,USDA FoodData Central nut reference,recipe-estimate,Mixed nuts and raisins.
Peanuts,Ingredient,nut,1 handful,28,7.28,4.48,13.72,158.8,26.0,16.0,49.0,567.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Dry roasted peanuts.
Pistachios,Ingredient,nut,1 tbsp,10,2.0,2.7,5.0,57.0,20.0,27.0,50.0,570.0,USDA FoodData Central,USDA FoodData Central nut reference,cross-validated,"Raw pistachios, spoon measure."
Walnuts,Ingredient,nut,1 handful,28,4.2,3.92,18.2,183.1,15.0,14.0,65.0,654.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Raw walnuts.
Brazil Nuts,Nut,nut,1 handful,28,4.0,3.44,18.59,184.52,14.3,12.3,66.4,659.0,USDA FoodData Central + nut composition tables,Cross-checked against standard nut composition tables,cross-validated,"Brazil nuts, average handful."
Macadamia Nuts,Nut,nut,1 handful,28,2.18,3.86,21.22,201.04,7.8,13.8,75.8,718.0,USDA FoodData Central + nut composition tables,Cross-checked against standard nut composition tables,cross-validated,"Macadamia nuts, average handful."
Pecans,Nut,nut,1 handful,28,2.58,3.89,20.16,193.48,9.2,13.9,72.0,691.0,USDA FoodData Central + nut composition tables,Cross-checked against standard nut composition tables,cross-validated,"Pecans, average handful."
Chickpeas (Cooked),Ingredient,legume,1 cup,164,14.6,44.94,4.26,269.0,8.9,27.4,2.6,164.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Boiled chickpeas.
Lentils (Cooked),Ingredient,legume,1 cup,198,17.82,39.8,0.79,229.7,9.0,20.1,0.4,116.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Boiled lentils.
Rajma (Cooked),Ingredient,legume,1 cup,177,15.4,40.36,0.89,224.8,8.7,22.8,0.5,127.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Boiled kidney beans.
Sprouts,Ingredient,legume,1 cup,100,4.0,7.0,0.5,35.0,4.0,7.0,0.5,35.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,"Mixed sprouts, raw."
Dates Chopped,Ingredient,sweetener,1 tbsp,10,0.3,7.5,0.0,28.0,3.0,75.0,0.0,280.0,USDA FoodData Central,USDA FoodData Central dried fruit reference,cross-validated,"Chopped dates, spoon measure."
Honey,Ingredient,sweetener,1 tbsp,21,0.06,17.22,0.0,63.8,0.3,82.0,0.0,304.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Pure honey.
Jaggery,Ingredient,sweetener,1 piece,10,0.0,9.8,0.0,38.3,0.0,98.0,0.0,383.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Unrefined sugar.
Raisins,Ingredient,sweetener,1 tbsp,10,0.3,8.0,0.0,30.0,3.0,80.0,0.0,300.0,USDA FoodData Central,USDA FoodData Central dried fruit reference,cross-validated,"Raisins, spoon measure."
Sugar,Ingredient,sweetener,1 tsp,4,0.0,4.0,0.0,15.5,0.0,100.0,0.0,387.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Table sugar.
Chia Seeds,Ingredient,seed,1 tbsp,12,2.04,5.04,3.72,58.3,17.0,42.0,31.0,486.0,USDA FoodData Central,USDA FoodData Central and IFCT 2017,cross-validated,Dry chia seeds.
